title,rank,score,users_rated,Popularity,Favorites,Members,animeType,Episodes,status,premiered,studio,source,rating,genres
Nodame Cantabile,176,8.38,96898,449,4668,227101,TV,23,Finished Airing,Winter 2007,J.C.Staff,Manga,PG-13 - Teens 13 or older,"Music,Slice of Life,Comedy,Drama,Romance,Josei"
One Outs,177,8.38,71893,743,2783,144852,TV,25,Finished Airing,Fall 2008,Madhouse,Manga,PG-13 - Teens 13 or older,"Sports,Psychological,Seinen"
Tenkuu no Shiro Laputa,178,8.38,156189,383,2290,249968,Movie,1,Finished Airing,"Aug 2, 1986",Studio Ghibli,Original,"Aug 2, 1986","Adventure,Fantasy,Romance,Sci-Fi"
Boku no Hero Academia,179,8.37,760355,13,34982,1167335,TV,13,Finished Airing,Spring 2016,Bones,Manga,PG-13 - Teens 13 or older,"Action,Comedy,School,Shounen,Super Power"
Doukyuusei (Movie),180,8.37,45388,1141,2204,93564,Movie,1,Finished Airing,"Feb 20, 2016",A-1 Pictures,Manga,"Feb 20, 2016","Slice of Life,Romance,School,Shounen Ai"
Karakai Jouzu no Takagi-san 2,181,8.37,27310,1222,920,85988,TV,12,Finished Airing,Summer 2019,Shin-Ei Animation,Manga,PG-13 - Teens 13 or older,"Comedy,Romance,School,Shounen,Slice of Life"
Quanzhi Gaoshou Specials,182,8.37,26218,1718,297,56199,ONA,3,Finished Airing,"Apr 27, 2018 to May 11, 2018",add some,Novel,"Apr 27, 2018 to May 11, 2018","Action,Game"
Rurouni Kenshin: Meiji Kenkaku Romantan,183,8.37,153467,293,10326,322657,TV,94,Finished Airing,Winter 1996,Gallop,Manga,PG-13 - Teens 13 or older,"Action,Adventure,Comedy,Historical,Romance,Samurai,Shounen"
Tsubasa: Tokyo Revelations,184,8.37,37654,1408,868,74039,OVA,3,Finished Airing,"Nov 16, 2007 to Mar 17, 2008",Production I.G,Manga,"Nov 16, 2007 to Mar 17, 2008","Action,Adventure,Drama,Romance,Fantasy,Shounen"
Uchuu Senkan Yamato 2199,185,8.37,26028,1349,1372,78304,OVA,26,Finished Airing,"May 25, 2012 to Oct 25, 2013",Xebec,Original,"May 25, 2012 to Oct 25, 2013","Action,Drama,Military,Sci-Fi,Space"
Fate/stay night Movie: Heaven's Feel - I. Presage Flower,186,8.36,60337,633,1259,168742,Movie,1,Finished Airing,"Oct 14, 2017",ufotable,Visual novel,"Oct 14, 2017","Action,Fantasy,Magic,Supernatural"
