title,rank,score,users_rated,Popularity,Favorites,Members,animeType,Episodes,status,premiered,studio,source,rating,genres
Lodoss-tou Senki: Eiyuu Kishi Den,2919,7.21,8247,2992,107,22019,TV,27,Finished Airing,Spring 1998,AIC,Novel,PG-13 - Teens 13 or older,"Action,Adventure,Drama,Magic,Romance,Fantasy"
Love Hina,2920,7.21,107774,522,1505,201420,TV,24,Finished Airing,Spring 2000,Xebec,Manga,PG-13 - Teens 13 or older,"Comedy,Ecchi,Harem,Romance,Shounen,Slice of Life"
Mahou Senshi Louie,2921,7.21,7241,3460,68,16512,TV,24,Finished Airing,Spring 2001,J.C.Staff,Light novel,PG-13 - Teens 13 or older,"Adventure,Comedy,Fantasy,Magic,Shounen"
Mashiro-iro Symphony: The Color of Lovers,2922,7.21,56595,970,460,113489,TV,12,Finished Airing,Fall 2011,Manglobe,Visual novel,PG-13 - Teens 13 or older,"Harem,Drama,Romance,School"
Mister Ajikko,2923,7.21,540,6792,16,3161,TV,99,Finished Airing,Fall 1987,Sunrise,Unknown,G - All Ages,"Comedy,Shounen"
Mutafukaz,2924,7.21,2143,5205,26,6210,Movie,1,Finished Airing,"Oct 12, 2018",Studio 4°C,Manga,"Oct 12, 2018","Action,Psychological,Sci-Fi,Super Power"
Ore no Imouto ga Konnani Kawaii Wake ga Nai.,2925,7.21,185242,311,1168,301371,TV,13,Finished Airing,Spring 2013,A-1 Pictures,Light novel,PG-13 - Teens 13 or older,"Comedy,Romance,Slice of Life"
Penguin's Memory: Shiawase Monogatari,2926,7.21,452,8071,16,1815,Movie,1,Finished Airing,"Jun 22, 1985",Animation Staff Room,Unknown,"Jun 22, 1985","Drama,Military,Seinen"
Pumpkin Scissors,2927,7.21,13007,2428,106,32066,TV,24,Finished Airing,Fall 2006,Gonzo,Manga,R - 17+ (violence & profanity),"Action,Comedy,Drama,Military"
Rec: Yurusarezarumono,2928,7.21,12928,3110,3,20290,Special,1,Finished Airing,"Jun 30, 2006",Shaft,Manga,"Jun 30, 2006","Comedy,Drama,Romance,Seinen"
Reikenzan: Hoshikuzu-tachi no Utage,2929,7.21,24606,1572,156,63055,TV,12,Finished Airing,Winter 2016,Studio Deen,Light novel,PG-13 - Teens 13 or older,"Comedy,Magic,Fantasy"
Robin Hood no Daibouken,2930,7.21,2757,5360,19,5731,TV,52,Finished Airing,Summer 1990,Tatsunoko Production,Unknown,G - All Ages,"Adventure,Historical,Romance"
Ryuusei no Rockman,2931,7.21,4062,4352,75,9542,TV,55,Finished Airing,Fall 2006,Xebec,Game,PG - Children,"Action,Game,Sci-Fi,Shounen"
Saraba Uchuu Senkan Yamato: Ai no Senshi-tachi,2932,7.21,905,7057,12,2818,Movie,1,Finished Airing,"Aug 5, 1978",add some,Original,"Aug 5, 1978","Action,Military,Sci-Fi,Space,Drama"
Soukou Kihei Votoms: The Last Red Shoulder,2933,7.21,1351,7095,2,2774,OVA,1,Finished Airing,"Aug 21, 1985",Sunrise,Original,"Aug 21, 1985","Action,Drama,Mecha,Military,Sci-Fi"
ViVid Strike!,2934,7.21,11773,2091,104,41487,TV,12,Finished Airing,Fall 2016,Seven Arcs Pictures,Original,PG-13 - Teens 13 or older,"Action,Drama,Magic,Martial Arts"
"Wake Up, Girls! Seishun no Kage",2935,7.21,2456,4945,7,7007,Movie,1,Finished Airing,"Sep 25, 2015",Ordet,Original,"Sep 25, 2015","Drama,Music"
Yu☆Gi☆Oh! Movie: Chou Yuugou! Toki wo Koeta Kizuna,2936,7.21,18751,2504,60,30385,Movie,1,Finished Airing,"Jan 23, 2010",Gallop,Manga,"Jan 23, 2010","Game,Adventure,Shounen"
Yuugo: Koushounin,2937,7.21,2562,4507,25,8835,TV,13,Finished Airing,Winter 2004,Artland,Manga,R - 17+ (violence & profanity),"Action,Military,Mystery,Psychological,Drama,Seinen"
Black Cat: Toozakaru Neko,2938,7.2,8229,3263,33,18433,Special,1,Finished Airing,"Jul 26, 2006",Gonzo,Manga,"Jul 26, 2006","Action,Sci-Fi,Adventure,Comedy,Super Power,Shounen"
Black Jack (TV): Hizouban Specials,2939,7.2,755,7506,1,2304,Special,2,Finished Airing,"Jul 17, 2006",Tezuka Productions,Unknown,"Jul 17, 2006",Adventure
Bokura wa Minna Kawai-sou Specials,2940,7.2,2996,3994,18,11766,Special,14,Finished Airing,"Jul 2, 2014 to Jan 30, 2015",Brain's Base,Manga,"Jul 2, 2014 to Jan 30, 2015","Comedy,Seinen"
Boogiepop wa Warawanai,2941,7.2,20469,1379,632,75513,TV,12,Finished Airing,Winter 2000,Madhouse,Light novel,R+ - Mild Nudity,"Psychological,Supernatural,Dementia,Mystery,Drama,Horror"
Daisuki! BuBu ChaCha,2942,7.2,521,9110,5,1153,TV,26,Finished Airing,Spring 2001,Daume,Original,G - All Ages,Kids
Dantalian no Shoka: Ibarahime,2943,7.2,9222,3318,12,17947,OVA,1,Finished Airing,"Aug 9, 2012",Gainax,Light novel,"Aug 9, 2012","Action,Historical,Mystery"
Devilman: Tanjou-hen,2944,7.2,9504,3344,202,17563,OVA,1,Finished Airing,"Nov 1, 1987",Oh! Production,Manga,"Nov 1, 1987","Demons,Horror,Sci-Fi,Supernatural"
Dog Days',2945,7.2,40893,1345,151,78452,TV,13,Finished Airing,Summer 2012,Seven Arcs,Original,PG-13 - Teens 13 or older,"Action,Adventure,Magic,Fantasy"
Doraemon Movie 14: Nobita to Buriki no Labyrinth,2946,7.2,1316,7504,3,2303,Movie,1,Finished Airing,"Mar 6, 1993",add some,Unknown,"Mar 6, 1993",Fantasy
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka OVA,2947,7.2,46251,1138,111,93870,OVA,1,Finished Airing,"Dec 7, 2016",J.C.Staff,Light novel,"Dec 7, 2016","Action,Adventure,Comedy,Fantasy,Romance"
Fate/kaleid liner Prisma☆Illya,2948,7.2,76639,601,855,175257,TV,10,Finished Airing,Summer 2013,Silver Link.,Manga,PG-13 - Teens 13 or older,"Action,Comedy,Fantasy,Magic"
Futari wa Precure: Splash☆Star,2949,7.2,2991,4652,60,8154,TV,49,Finished Airing,Winter 2006,Toei Animation,Original,G - All Ages,"Action,Comedy,Fantasy,Magic,Shoujo"
Gensoumaden Saiyuuki OVA,2950,7.2,1514,6084,15,4186,OVA,2,Finished Airing,"Apr 23, 1999 to Aug 27, 1999",add some,Manga,"Apr 23, 1999 to Aug 27, 1999","Adventure,Shounen,Supernatural"
Hakuouki Hekketsuroku Episode 0,2951,7.2,4149,4124,18,10865,Special,1,Finished Airing,"Oct 3, 2010",Studio Deen,Visual novel,"Oct 3, 2010","Action,Harem,Historical,Supernatural,Drama,Samurai,Vampire,Josei"
Hi no Tori,2952,7.2,1649,5198,27,6215,TV,13,Finished Airing,Spring 2004,Tezuka Productions,Manga,G - All Ages,"Adventure,Drama,Historical,Sci-Fi,Supernatural"
Kamisama Kazoku,2953,7.2,18918,2145,89,40051,TV,13,Finished Airing,Spring 2006,Toei Animation,Light novel,PG-13 - Teens 13 or older,"Fantasy,Romance,Comedy,Drama"
Kenkou Zenrakei Suieibu Umishou,2954,7.2,14209,2441,88,31737,TV,13,Finished Airing,Summer 2007,Artland,Manga,PG-13 - Teens 13 or older,"Comedy,Sports,Ecchi,School,Shounen"
Kikoushi Enma,2955,7.2,5794,3552,49,15704,OVA,4,Finished Airing,"Aug 24, 2006 to Mar 23, 2007",Brain's Base,Manga,"Aug 24, 2006 to Mar 23, 2007","Horror,Demons,Supernatural,Magic,Ecchi,Fantasy,Seinen"
Kochira Katsushikaku Kameari Kouenmae Hashutsujo The Movie,2956,7.2,461,8845,0,1294,Movie,1,Finished Airing,"Dec 23, 1999",Gallop,Manga,"Dec 23, 1999","Action,Comedy,Mystery,Police"
Kodomo no Jikan: Ni Gakki,2957,7.2,14284,2708,29,26386,OVA,3,Finished Airing,"Feb 20, 2009 to Jul 24, 2009",Diomedea,Manga,"Feb 20, 2009 to Jul 24, 2009","Comedy,Ecchi,School"
Koi to Senkyo to Chocolate,2958,7.2,64812,742,348,145330,TV,12,Finished Airing,Summer 2012,AIC Build,Visual novel,PG-13 - Teens 13 or older,"Drama,Romance,School"
Koukyoushihen Eureka Seven: Pocket ga Niji de Ippai,2959,7.2,20282,2163,116,39618,Movie,1,Finished Airing,"Apr 25, 2009",Bones,Original,"Apr 25, 2009","Adventure,Mecha,Romance,Sci-Fi"
Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,2960,7.2,7293,2661,108,27243,TV,13,Finished Airing,Fall 2003,TMS Entertainment,Novel,R - 17+ (violence & profanity),"Fantasy,Historical,Horror,Mystery,Psychological,Supernatural"
Kyuuketsuhime Miyu (TV),2961,7.2,8673,2608,172,28198,TV,26,Finished Airing,Fall 1997,AIC,Manga,R - 17+ (violence & profanity),"Action,Horror,Demons,Drama,Vampire,Shoujo"
Ling Qi,2962,7.2,13419,1948,355,47037,ONA,20,Finished Airing,"Jun 21, 2016 to Nov 1, 2016",Haoliners Animation League,Web manga,"Jun 21, 2016 to Nov 1, 2016","Action,Comedy,Supernatural,Magic,Shounen Ai"
Mahou no Tenshi Creamy Mami,2963,7.2,1997,4611,102,8312,TV,52,Finished Airing,Summer 1983,Studio Pierrot,Original,G - All Ages,"Comedy,Fantasy,Magic,Romance,School,Sci-Fi,Shoujo"
Mobile Suit Gundam SEED C.E.73: Stargazer,2964,7.2,10160,3274,50,18372,ONA,3,Finished Airing,"Jul 14, 2006 to Sep 29, 2006",Sunrise,Original,"Jul 14, 2006 to Sep 29, 2006","Space,Mecha,Military,Sci-Fi"
Momokuri,2965,7.2,20250,1729,171,55536,ONA,26,Finished Airing,"Dec 24, 2015 to Feb 4, 2016",Satelight,Web manga,"Dec 24, 2015 to Feb 4, 2016","Comedy,Romance,Slice of Life"
Mouretsu Pirates,2966,7.2,21228,1620,266,60940,TV,26,Finished Airing,Winter 2012,Satelight,Light novel,PG-13 - Teens 13 or older,"Sci-Fi,Space"
Mouretsu Pirates: Abyss of Hyperspace,2967,7.2,3765,4160,12,10623,Movie,1,Finished Airing,"Feb 22, 2014",Satelight,Light novel,"Feb 22, 2014","Sci-Fi,Space"
Offside (TV),2968,7.2,744,7741,17,2089,TV,39,Finished Airing,Spring 2001,Ashi Production,Manga,G - All Ages,"Action,Sports,Drama"
One Piece Film: Gold Episode 0 - 711 ver.,2969,7.2,6534,3929,18,12240,Special,1,Finished Airing,"Jul 2, 2016",Toei Animation,Manga,"Jul 2, 2016","Action,Adventure,Comedy,Super Power,Fantasy,Shounen"
Pokemon 3D Adventure: Mew wo Sagase!,2970,7.2,3305,4690,10,8005,Movie,1,Finished Airing,"Mar 18, 2005",OLM,Game,"Mar 18, 2005","Adventure,Comedy,Fantasy,Kids"
Sanzoku no Musume Ronja,2971,7.2,4018,3013,57,21730,TV,26,Finished Airing,Fall 2014,Studio Ghibli,Book,G - All Ages,Adventure
Satsuriku no Tenshi ONA,2972,7.2,29496,1802,181,52470,ONA,4,Finished Airing,"Oct 5, 2018 to Oct 26, 2018",J.C.Staff,Game,"Oct 5, 2018 to Oct 26, 2018","Adventure,Mystery,Horror,Psychological"
Shakugan no Shana Movie Special,2973,7.2,10122,2994,19,21997,Special,1,Finished Airing,"Sep 21, 2007",J.C.Staff,Unknown,"Sep 21, 2007","Adventure,Comedy,Fantasy,Parody"
Suki ni Naru Sono Shunkan wo.: Kokuhaku Jikkou Iinkai,2974,7.2,19694,1874,122,49811,Movie,1,Finished Airing,"Dec 17, 2016",Qualia Animation,Music,"Dec 17, 2016","Comedy,Drama,Romance,School"
Tengen Toppa Gurren Lagann: Parallel Works,2975,7.2,14237,2633,24,27686,Aniplex,8,Finished Airing,"Jun 15, 2008 to Sep 14, 2008",Gainax,Original,"Jun 15, 2008 to Sep 14, 2008",Music
The iDOLM@STER Cinderella Girls,2976,7.2,21114,1753,475,54602,TV,13,Finished Airing,Winter 2015,A-1 Pictures,Game,PG-13 - Teens 13 or older,"Comedy,Drama,Music"
Tight-rope,2977,7.2,16643,2481,89,30886,OVA,2,Finished Airing,"May 30, 2012 to Jun 27, 2012",PrimeTime,Manga,"May 30, 2012 to Jun 27, 2012","Romance,Shounen Ai"
To LOVE-Ru,2978,7.2,196440,213,3384,387335,TV,26,Finished Airing,Spring 2008,Xebec,Manga,R+ - Mild Nudity,"Sci-Fi,Harem,Comedy,Romance,Ecchi,School,Shounen"
Tom Sawyer no Bouken,2979,7.2,1852,5987,25,4364,TV,49,Finished Airing,Winter 1980,Nippon Animation,Book,G - All Ages,"Adventure,Drama,Historical,Slice of Life"
Uchuu Senkan Yamato III,2980,7.2,1152,6181,10,4019,TV,25,Finished Airing,Fall 1980,add some,Original,PG-13 - Teens 13 or older,"Action,Military,Sci-Fi,Adventure,Space,Drama"
"Wake Up, Girls! Shichinin no Idol",2981,7.2,10555,3212,13,19070,Movie,1,Finished Airing,"Jan 10, 2014",Tatsunoko Production,Original,"Jan 10, 2014","Drama,Music"
Xi You Ji,2982,7.2,122,11495,6,378,TV,52,Finished Airing,CCTV Animation,add some,Novel,PG - Children,"Adventure,Fantasy"
Youkai Apartment no Yuuga na Nichijou,2983,7.2,16036,1952,140,46965,TV,26,Finished Airing,Summer 2017,Shin-Ei Animation,Light novel,PG-13 - Teens 13 or older,"Slice of Life,Mystery,Supernatural"
Yuragi-sou no Yuuna-san,2984,7.2,41346,941,407,117113,TV,12,Finished Airing,Summer 2018,Xebec,Manga,R+ - Mild Nudity,"Comedy,Ecchi,Harem,Romance,Shounen,Supernatural"
Ai Yori Aoshi,2985,7.19,42120,1229,433,85553,TV,24,Finished Airing,Spring 2002,J.C.Staff,Manga,PG-13 - Teens 13 or older,"Harem,Slice of Life,Comedy,Drama,Romance"
Ajin 2nd Season OVA,2986,7.19,1597,5102,4,6506,OVA,1,Finished Airing,"Apr 7, 2017",Polygon Pictures,Manga,"Apr 7, 2017","Action,Mystery,Horror,Supernatural,Seinen"
Aru Tabibito no Nikki,2987,7.19,9204,3130,101,20079,ONA,6,Finished Airing,"Mar 19, 2003 to Jun 4, 2003",add some,Original,"Mar 19, 2003 to Jun 4, 2003","Adventure,Fantasy"
Ashita no Joe (Movie),2988,7.19,948,6888,7,3046,Movie,1,Finished Airing,"Mar 8, 1980",Mushi Production,Unknown,"Mar 8, 1980","Action,Drama,Shounen,Sports"
Chikyuu Bouei Kigyou Dai-Guard,2989,7.19,2096,5048,34,6666,TV,26,Finished Airing,Fall 1999,Xebec,Original,PG-13 - Teens 13 or older,"Military,Sci-Fi,Adventure,Comedy,Mecha"
Crayon Shin-chan Movie 11: Arashi wo Yobu Eikou no Yakiniku Road,2990,7.19,965,7809,1,2042,Movie,1,Finished Airing,"Apr 19, 2003",add some,Manga,"Apr 19, 2003","Action,Adventure,Comedy,Seinen"
Danball Senki,2991,7.19,2073,5399,38,5615,TV,44,Finished Airing,Spring 2011,OLM,Game,G - All Ages,"Action,Kids,Mecha"
Digimon Adventure 02 Movies,2992,7.19,20398,2309,44,35207,Movie,2,Finished Airing,"Jul 8, 2000",Toei Animation,Original,"Jul 8, 2000","Adventure,Fantasy,Kids,Sci-Fi"
"Donten ni Warau Gaiden: Shukumei, Soutou no Fuuma",2993,7.19,166,5371,8,5709,Movie,1,Finished Airing,"Jun 9, 2018",Wit Studio,Manga,"Jun 9, 2018","Action,Supernatural,Historical"
Dororo to Hyakkimaru,2994,7.19,1253,5038,40,6690,TV,26,Finished Airing,Spring 1969,Mushi Production,Manga,R - 17+ (violence & profanity),"Action,Adventure,Supernatural"
Druaga no Tou: The Aegis of Uruk - Jil no Bouken,2995,7.19,5861,3851,10,12781,Special,1,Finished Airing,"Apr 4, 2008",Gonzo,Game,"Apr 4, 2008","Adventure,Fantasy"
"Flanders no Inu, Boku no Patrasche",2996,7.19,349,8834,3,1303,TV,26,Finished Airing,Fall 1992,TMS Entertainment,Novel,G - All Ages,"Drama,Historical"
"Gyakuten Saiban: Sono ""Shinjitsu"", Igi Ari! Season 2",2997,7.19,5235,3282,58,18367,TV,23,Finished Airing,Fall 2018,CloverWorks,Game,PG-13 - Teens 13 or older,"Comedy,Drama,Mystery,Police"
HeatGuy J Special,2998,7.19,871,7770,1,2070,Special,1,Finished Airing,"Sep 26, 2003",Satelight,Original,"Sep 26, 2003","Action,Adventure,Mecha,Police,Sci-Fi"
Kaiketsu Zorori (TV),2999,7.19,652,7925,22,1943,TV,52,Finished Airing,Winter 2004,Ajia-Do,Unknown,PG - Children,"Adventure,Comedy"
Kanon,3000,7.19,21420,1840,244,50912,TV,13,Finished Airing,Winter 2002,Toei Animation,Visual novel,G - All Ages,"Drama,Romance,Slice of Life,Supernatural"
Kikou Souseiki Mospeada,3001,7.19,2462,5174,39,6273,TV,25,Finished Airing,Fall 1983,Tatsunoko Production,Original,PG-13 - Teens 13 or older,"Action,Mecha,Military"
Marco: Haha wo Tazunete Sanzenri,3002,7.19,598,8233,0,1680,Movie,1,Finished Airing,"Apr 2, 1999",Nippon Animation,Unknown,"Apr 2, 1999","Adventure,Drama"
Masuda Kousuke Gekijou Gag Manga Biyori 3,3003,7.19,939,7649,4,2173,TV,12,Finished Airing,Spring 2008,Studio Deen,Manga,PG-13 - Teens 13 or older,Comedy
Mayonaka no Occult Koumuin: Hitoribocchi no Kyuuketsuki,3004,7.19,934,6148,1,4081,OVA,2,Finished Airing,"Sep 25, 2019",add some,Manga,"Sep 25, 2019","Mystery,Demons,Supernatural,Fantasy,Shoujo"
Muteki Koujin Daitarn 3,3005,7.19,665,7697,9,2130,TV,40,Finished Airing,Summer 1978,Sunrise,Original,PG - Children,"Mecha,Sci-Fi"
Nasu: Suitcase no Wataridori,3006,7.19,1208,7176,2,2663,OVA,1,Finished Airing,"Oct 24, 2007",Madhouse,Manga,"Oct 24, 2007","Drama,Seinen,Sports"
One Piece 3D: Gekisou! Trap Coaster,3007,7.19,5037,3645,32,14703,Movie,1,Finished Airing,"Dec 1, 2011",Toei Animation,Manga,"Dec 1, 2011","Action,Adventure,Fantasy,Comedy,Shounen"
One Piece 3D: Mugiwara Chase,3008,7.19,19025,2341,56,34326,Movie,1,Finished Airing,"Mar 19, 2011",Toei Animation,Manga,"Mar 19, 2011","Action,Adventure,Comedy,Fantasy,Shounen"
One Piece Movie 1,3009,7.19,39417,1533,249,66202,Movie,1,Finished Airing,"Mar 4, 2000",Toei Animation,Manga,"Mar 4, 2000","Action,Adventure,Comedy,Super Power,Fantasy,Shounen"
Puchimas!: Petit iDOLM@STER,3010,7.19,4914,4011,33,11602,ONA,64,Finished Airing,"Jan 1, 2013 to Mar 29, 2013",Gathering,4-koma manga,"Jan 1, 2013 to Mar 29, 2013","Comedy,Slice of Life"
SF Saiyuuki Starzinger,3011,7.19,515,8113,18,1775,TV,73,Finished Airing,Spring 1978,Toei Animation,Original,G - All Ages,"Adventure,Mecha,Sci-Fi,Shounen,Space"
Shin Captain Tsubasa,3012,7.19,4412,4729,15,7851,OVA,13,Finished Airing,"Jul 1, 1989 to Jul 1, 1990",Nippon Animation,Manga,"Jul 1, 1989 to Jul 1, 1990","Action,Sports,Shounen"
Shuffle!,3013,7.19,105383,488,1533,214155,TV,24,Finished Airing,Summer 2005,Xebec,Visual novel,R+ - Mild Nudity,"Comedy,Drama,Ecchi,Fantasy,Harem,Magic,Romance,School,Seinen"
Sora no Method: Mou Hitotsu no Negai,3014,7.2,278,7453,0,2367,ONA,1,Finished Airing,"Oct 11, 2019",Studio 3Hz,Original,"Oct 11, 2019","Slice of Life,Comedy,Fantasy,School"
Sora wo Miageru Shoujo no Hitomi ni Utsuru Sekai,3015,7.19,12212,2424,107,32196,TV,9,Finished Airing,Winter 2009,Kyoto Animation,Original,PG-13 - Teens 13 or older,"Action,Super Power,Magic,Romance,Fantasy"
Tantei Opera Milky Holmes Movie: Gyakushuu no Milky Holmes,3016,7.19,904,6948,3,2971,Movie,1,Finished Airing,"Feb 27, 2016",J.C.Staff,Card game,"Feb 27, 2016","Comedy,Mystery,Super Power"
Urara Meirochou,3017,7.19,26127,1170,361,89952,TV,12,Finished Airing,Winter 2017,J.C.Staff,4-koma manga,PG-13 - Teens 13 or older,"Slice of Life,Comedy,Fantasy,Seinen"
Yankee-kun na Yamada-kun to Megane-chan to Majo,3018,7.19,3938,3695,5,14271,Special,1,Finished Airing,"Aug 26, 2015",LIDENFILMS,Manga,"Aug 26, 2015","Comedy,School,Shounen"
Yu☆Gi☆Oh! Duel Monsters: Battle City Special,3019,7.19,6609,3780,27,13495,Special,1,Finished Airing,"Jan 1, 2002",add some,Manga,"Jan 1, 2002","Adventure,Fantasy,Game,Shounen"
Yuki no Joou (TV),3020,7.19,532,6868,14,3066,TV,36,Finished Airing,Spring 2005,TMS Entertainment,Book,PG - Children,"Adventure,Drama,Fantasy,Shoujo"
All Out!!,3021,7.18,28823,1409,268,74111,TV,25,Finished Airing,Fall 2016,Madhouse,Manga,PG-13 - Teens 13 or older,"Sports,School,Seinen"
Ao no Exorcist: Ura Ex,3022,7.18,27534,1567,59,63296,Special,10,Finished Airing,"Jun 22, 2011 to Mar 21, 2012",A-1 Pictures,Unknown,"Jun 22, 2011 to Mar 21, 2012","Action,Fantasy,Supernatural,Shounen"
Biohazard: Vendetta,3023,7.18,5860,3932,35,12211,Movie,1,Finished Airing,"May 27, 2017",Marza Animation Planet,Game,"May 27, 2017","Action,Horror,Sci-Fi"
Bishoujo Senshi Sailor Moon R: Make Up! Sailor Senshi,3024,7.18,5899,3831,35,12941,Special,1,Finished Airing,"Dec 5, 1993",Toei Animation,Manga,"Dec 5, 1993",Shoujo
Black★Rock Shooter (OVA),3025,7.18,95690,706,896,153348,OVA,1,Finished Airing,"Jul 24, 2010",Ordet,Other,"Jul 24, 2010","Action,Slice of Life,Drama,School"
Doraemon Movie 19: Nobita no Nankai Daibouken,3026,7.18,1479,7224,5,2615,Movie,1,Finished Airing,"Mar 7, 1998",Shin-Ei Animation,Unknown,"Mar 7, 1998","Adventure,Comedy,Fantasy,Kids,Sci-Fi,Shounen"
Fate/Apocrypha,3027,7.18,104574,407,1554,241464,TV,25,Finished Airing,Summer 2017,A-1 Pictures,Light novel,R - 17+ (violence & profanity),"Action,Supernatural,Drama,Magic,Fantasy"
Final Fantasy VII: On the Way to a Smile - Episode: Denzel,3028,7.18,11239,2986,14,22146,OVA,1,Finished Airing,"Apr 16, 2009",A-1 Pictures,Novel,"Apr 16, 2009","Action,Fantasy,Super Power"
Fw:Hamatora,3029,7.18,862,5133,4,6397,Movie,1,Finished Airing,"Nov 14, 2015",Lerche,Original,"Nov 14, 2015","Mystery,Comedy,Super Power"
GA: Geijutsuka Art Design Class,3030,7.18,5159,3511,58,16011,TV,12,Finished Airing,Summer 2009,AIC Plus+,4-koma manga,PG-13 - Teens 13 or older,"Slice of Life,Comedy,School,Seinen"
Higepiyo,3031,7.18,1907,5638,14,5075,TV,39,Finished Airing,Spring 2009,Kinema Citrus,Original,PG - Children,Comedy
Hokuto no Ken: Raoh Gaiden Ten no Haoh,3032,7.18,3498,4416,27,9256,TV,13,Finished Airing,Fall 2008,Satelight,Manga,R - 17+ (violence & profanity),"Action,Drama,Martial Arts"
Jungle Taitei Movie (1997),3033,7.18,1295,7090,13,2781,Movie,1,Finished Airing,"Aug 1, 1997",Tezuka Productions,Manga,"Aug 1, 1997","Adventure,Fantasy"
K: Seven Stories Movie 3 - Side:Green - Uwagaki Sekai,3034,7.18,1390,4337,7,9708,Movie,1,Finished Airing,"Sep 1, 2018",GoHands,Manga,"Sep 1, 2018","Action,Super Power,Supernatural"
Kemurikusa (TV),3035,7.18,4976,3415,99,17022,TV,12,Finished Airing,Winter 2019,Yaoyorozu,Original,PG-13 - Teens 13 or older,"Fantasy,Sci-Fi"
Kimi to Boku,3036,7.18,397,7772,12,2071,ONA,1,Finished Airing,"May 14, 2001",add some,Unknown,"May 14, 2001","Slice of Life,Drama"
Kyoukaisenjou no Horizon,3037,7.18,49018,808,786,134463,TV,13,Finished Airing,Fall 2011,Sunrise,Light novel,PG-13 - Teens 13 or older,"Action,Sci-Fi,Fantasy"
Lostorage Conflated WIXOSS,3038,7.18,6084,3048,64,21147,TV,12,Finished Airing,Spring 2018,J.C.Staff,Card game,R - 17+ (violence & profanity),"Game,Psychological"
Lupin III: Alcatraz Connection,3039,7.18,1921,5733,3,4858,Special,1,Finished Airing,"Aug 3, 2001",TMS Entertainment,Manga,"Aug 3, 2001","Action,Adventure,Comedy,Seinen"
Macross 7,3040,7.18,8146,3033,169,21432,TV,49,Finished Airing,Fall 1994,Production Reed,Original,PG-13 - Teens 13 or older,"Action,Military,Sci-Fi,Adventure,Music,Space,Comedy,Drama,Romance,Mecha,Shounen"
Mahoromatic Summer Special,3041,7.18,4903,4379,3,9401,Special,1,Finished Airing,"Aug 15, 2003",Gainax,Manga,"Aug 15, 2003","Ecchi,Romance,Comedy,Sci-Fi"
Manga Sekai Mukashibanashi,3042,7.18,246,9451,4,972,TV,127,Finished Airing,Fall 1976,Madhouse,Unknown,G - All Ages,"Adventure,Fantasy,Historical,Drama"
Mermaid Melody Pichi Pichi Pitch Pure,3043,7.18,14093,2643,232,27512,TV,39,Finished Airing,Spring 2004,Actas,Manga,PG - Children,"Adventure,Comedy,Magic,Romance,Shoujo"
Mikakunin de Shinkoukei: Kamoniku tte Midori-ppoi Aji ga Suru no ne.,3044,7.18,18695,2352,11,34019,OVA,1,Finished Airing,"Mar 28, 2014",Doga Kobo,4-koma manga,"Mar 28, 2014","Slice of Life,Comedy,Romance,Seinen"
Otaku no Video,3045,7.18,9648,3032,78,21450,OVA,2,Finished Airing,"Sep 27, 1991 to Dec 20, 1991",Gainax,Other,"Sep 27, 1991 to Dec 20, 1991","Comedy,Drama,Historical,Magic,Mecha,Sci-Fi"
Popolocrois Monogatari,3046,7.18,590,7794,11,2053,TV,25,Finished Airing,Fall 1998,Production I.G,Game,PG - Children,"Adventure,Fantasy"
Precure All Stars Movie New Stage: Mirai no Tomodachi,3047,7.18,1655,6363,4,3750,Movie,1,Finished Airing,"Mar 17, 2012",Toei Animation,Original,"Mar 17, 2012","Fantasy,Magic,Shoujo"
Rockman.EXE Beast,3048,7.18,2172,5338,16,5825,TV,25,Finished Airing,Fall 2005,Xebec,Game,PG - Children,"Action,Adventure,Game,Mecha,Sci-Fi,Shounen"
Senkaiden Houshin Engi,3049,7.18,5723,3773,71,13548,TV,26,Finished Airing,Summer 1999,Studio Deen,Manga,PG-13 - Teens 13 or older,"Magic,Adventure,Fantasy,Supernatural,Historical,Shounen"
Sirius,3050,7.18,41992,972,350,113624,TV,12,Finished Airing,Summer 2018,P.A. Works,Original,R - 17+ (violence & profanity),"Action,Historical,Supernatural,Vampire"
Space Adventure Cobra,3051,7.18,2524,5276,28,5997,Movie,1,Finished Airing,"Jul 3, 1982",TMS Entertainment,Manga,"Jul 3, 1982","Action,Adventure,Sci-Fi,Space"
Tamayura,3052,7.18,11877,2436,96,31860,OVA,4,Finished Airing,"Sep 6, 2010 to Dec 6, 2010",Hal Film Maker,Original,"Sep 6, 2010 to Dec 6, 2010","Slice of Life,Comedy,Drama"
Tenchi Muyou! Manatsu no Eve,3053,7.18,6698,3874,13,12599,Movie,1,Finished Airing,"Aug 2, 1997",AIC,Unknown,"Aug 2, 1997","Action,Comedy,Sci-Fi,Shounen,Space"
Tengen Toppa Gurren Lagann: Kirameki★Yoko Box - Pieces of Sweet Stars,3054,7.18,13827,2834,30,24457,add some,1,Finished Airing,"May 27, 2009",Gainax,Original,"May 27, 2009","Ecchi,Music"
Tonkatsu DJ Agetarou,3055,7.18,4755,4170,80,10562,TV,12,Finished Airing,Spring 2016,Studio Deen,Manga,PG-13 - Teens 13 or older,"Music,Comedy,Shounen"
